Checklist,Type,Index,Description,Reg Key,Reg Item,Value Data,actrual_value,result
1,REGISTRY_SETTING,18.5.23.2.1,"Ensure 'Allow Windows to automatically connect to suggested open hotspots, to networks shared by contacts, and to hotspots offering paid services' is set to 'Disabled'",HKLM\SOFTWARE\Microsoft\WcmSvc\wifinetworkmanager\config,AutoConnectAllowedOEM,0,0,Pass
1,REGISTRY_SETTING,0,Windows 10 is installed,HKLM\Software\Microsoft\Windows Nt\Currentversion,ProductName,^[Ww][Ii][Nn][Dd][Oo][Ww][Ss] 10.+$,Windows 10 Enterprise,Fail
1,REGISTRY_SETTING,0,Check Windows Release,HKLM\Software\Microsoft\Windows Nt\Currentversion,ReleaseId,2009,2009,Pass
1,REGISTRY_SETTING,2.3.4.1,Ensure 'Devices: Allowed to format and eject removable media' is set to 'Administrators and Interactive Users',HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,AllocateDASD,2,2,Pass
1,REGISTRY_SETTING,2.3.7.8,Ensure 'Interactive logon: Prompt user to change password before expiration' is set to 'between 5 and 14 days',HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,PasswordExpiryWarning,[5..14],14,Fail
1,REGISTRY_SETTING,2.3.7.9,Ensure 'Interactive logon: Smart card removal behavior' is set to 'Lock Workstation' or higher,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,ScRemoveOption,^(1|2|3)$,0,Fail
1,REGISTRY_SETTING,18.4.1,Ensure 'MSS: (AutoAdminLogon) Enable Automatic Logon (not recommended)' is set to 'Disabled',HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon,AutoAdminLogon,0,Value Not found,Fail
1,REGISTRY_SETTING,18.4.10,Ensure 'MSS: (ScreenSaverGracePeriod) The time in seconds before the screen saver grace period expires (0 recommended)' is set to 'Enabled: 5 or fewer seconds',HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon,ScreenSaverGracePeriod,[0..5],Value Not found,Fail
1,REGISTRY_SETTING,18.2.1,Ensure LAPS AdmPwd GPO Extension / CSE is installed - DllName,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{D76B9641-3288-4f75-942D-087DE603E3EA},DllName,C:\Program Files\LAPS\CSE\AdmPwd.dll,C:\Program Files\AdmPwd\CSE\AdmPwd.dll,Fail
1,REGISTRY_SETTING,18.9.15.2,Ensure 'Enumerate administrator accounts on elevation' is set to 'Disabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\CredUI,EnumerateAdministrators,0,Value Not found,Fail
1,REGISTRY_SETTING,18.8.22.1.6,Ensure 'Turn off Internet download for Web publishing and online ordering wizards' is set to 'Enabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,NoWebServices,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.8.2,Ensure 'Set the default behavior for AutoRun' is set to 'Enabled: Do not execute any autorun commands',HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\Explorer,NoAutorun,1,Value Not found,Fail
1,REGISTRY_SETTING,18.9.8.3,Ensure 'Turn off Autoplay' is set to 'Enabled: All drives',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,NoDriveTypeAutoRun,255,255,Pass
1,REGISTRY_SETTING,18.9.30.4,Ensure 'Turn off shell protocol protected mode' is set to 'Disabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer,PreXPSP2ShellProtocolBehavior,0,Value Not found,Fail
1,BANNER_CHECK,2.3.7.5,Configure 'Interactive logon: Message text for users attempting to log on',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,LegalNoticeText,All activities performed on this system will be monitored.,,Fail
1,BANNER_CHECK,2.3.7.6,Configure 'Interactive logon: Message title for users attempting to log on',HKLM\Software\Microsoft\Windows\Currentversion\Policies\System,LegalNoticeCaption,Notice and Consent Banner,,Fail
1,REGISTRY_SETTING,2.3.1.2,Ensure 'Accounts: Block Microsoft accounts' is set to 'Users can't add or log on with Microsoft accounts',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,NoConnectedUser,3,Value Not found,Fail
1,REGISTRY_SETTING,2.3.7.1,Ensure 'Interactive logon: Do not require CTRL+ALT+DEL' is set to 'Disabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,DisableCAD,0,1,Fail
1,REGISTRY_SETTING,2.3.7.2,Ensure 'Interactive logon: Don't display last signed-in' is set to 'Enabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,DontDisplayLastUserName,1,0,Fail
1,REGISTRY_SETTING,2.3.7.4,"Ensure 'Interactive logon: Machine inactivity limit' is set to '900 or fewer second(s), but not 0'",HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,InactivityTimeoutSecs,[0..900],Value Not found,Fail
1,REGISTRY_SETTING,2.3.17.1,Ensure 'User Account Control: Admin Approval Mode for the Built-in Administrator account' is set to 'Enabled',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,FilterAdministratorToken,1,0,Fail
1,REGISTRY_SETTING,2.3.17.2,Ensure 'User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode' is set to 'Prompt for consent on the secure desktop',HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System,ConsentPromptBehaviorAdmin,2,5,Fail
